,India
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,1.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,1.0
2020-02-03,1.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,2.0
2020-03-03,0.0
2020-03-04,23.0
2020-03-05,2.0
2020-03-06,1.0
2020-03-07,3.0
2020-03-08,5.0
2020-03-09,4.0
2020-03-10,13.0
2020-03-11,6.0
2020-03-12,11.0
2020-03-13,9.0
2020-03-14,20.0
2020-03-15,11.0
2020-03-16,6.0
2020-03-17,23.0
2020-03-18,14.0
2020-03-19,38.0
2020-03-20,50.0
2020-03-21,86.0
2020-03-22,66.0
2020-03-23,103.0
2020-03-24,37.0
2020-03-25,121.0
2020-03-26,70.0
2020-03-27,160.0
2020-03-28,100.0
2020-03-29,37.0
2020-03-30,227.0
2020-03-31,146.0
2020-04-01,601.0
2020-04-02,545.0
2020-04-03,24.0
2020-04-04,515.0
2020-04-05,506.0
2020-04-06,1190.0
2020-04-07,533.0
2020-04-08,605.0
2020-04-09,809.0
2020-04-10,873.0
2020-04-11,848.0
2020-04-12,759.0
2020-04-13,1248.0
2020-04-14,1034.0
2020-04-15,835.0
2020-04-16,1108.0
2020-04-17,922.0
2020-04-18,1370.0
2020-04-19,1893.0
2020-04-20,924.0
2020-04-21,1541.0
2020-04-22,1290.0
2020-04-23,1707.0
2020-04-24,1453.0
2020-04-25,1753.0
2020-04-26,1607.0
2020-04-27,1561.0
2020-04-28,1873.0
2020-04-29,1738.0
2020-04-30,1801.0
2020-05-01,2394.0
2020-05-02,2442.0
2020-05-03,2806.0
2020-05-04,3932.0
2020-05-05,2963.0
2020-05-06,3587.0
2020-05-07,3364.0
2020-05-08,3344.0
2020-05-09,3113.0
2020-05-10,4353.0
2020-05-11,3607.0
2020-05-12,3524.0
2020-05-13,3763.0
2020-05-14,3942.0
2020-05-15,3787.0
2020-05-16,4864.0
2020-05-17,5050.0
2020-05-18,4630.0
2020-05-19,6147.0
2020-05-20,5553.0
2020-05-21,6198.0
2020-05-22,6568.0
2020-05-23,6629.0
2020-05-24,7113.0
2020-05-25,6414.0
2020-05-26,5843.0
2020-05-27,7293.0
2020-05-28,7300.0
2020-05-29,8105.0
2020-05-30,8336.0
2020-05-31,8782.0
2020-06-01,7761.0
2020-06-02,8821.0
2020-06-03,9633.0
2020-06-04,9889.0
2020-06-05,9471.0
2020-06-06,10438.0
2020-06-07,10864.0
2020-06-08,8442.0
2020-06-09,10218.0
2020-06-10,10459.0
2020-06-11,10930.0
2020-06-12,11458.0
2020-06-13,11929.0
2020-06-14,11502.0
2020-06-15,10667.0
2020-06-16,10974.0
2020-06-17,12881.0
2020-06-18,13586.0
2020-06-19,14516.0
2020-06-20,15403.0
2020-06-21,14831.0
2020-06-22,14933.0
2020-06-23,15968.0
2020-06-24,16922.0
2020-06-25,17296.0
2020-06-26,18552.0
2020-06-27,19906.0
2020-06-28,19459.0
2020-06-29,18522.0
2020-06-30,18641.0
2020-07-01,19160.0
2020-07-02,20903.0
2020-07-03,22771.0
2020-07-04,24850.0
2020-07-05,24248.0
2020-07-06,22251.0
2020-07-07,22753.0
2020-07-08,24879.0
2020-07-09,26506.0
2020-07-10,27114.0
2020-07-11,28606.0
2020-07-12,28732.0
2020-07-13,28498.0
2020-07-14,29429.0
2020-07-15,32676.0
2020-07-16,34975.0
2020-07-17,35252.0
2020-07-18,38697.0
2020-07-19,40425.0
2020-07-20,37132.0
2020-07-21,37740.0
2020-07-22,45720.0
2020-07-23,49310.0
2020-07-24,48916.0
2020-07-25,48611.0
2020-07-26,49981.0
2020-07-27,44457.0
2020-07-28,51596.0
2020-07-29,50294.0
2020-07-30,52783.0
2020-07-31,61242.0
2020-08-01,54735.0
2020-08-02,52972.0
2020-08-03,52050.0
2020-08-04,52509.0
2020-08-05,56282.0
2020-08-06,62538.0
2020-08-07,61537.0
2020-08-08,64399.0
2020-08-09,62064.0
2020-08-10,53601.0
2020-08-11,60963.0
2020-08-12,66999.0
2020-08-13,64553.0
2020-08-14,64732.0
2020-08-15,64030.0
2020-08-16,57711.0
2020-08-17,55018.0
2020-08-18,64572.0
2020-08-19,69672.0
2020-08-20,68900.0
2020-08-21,69876.0
2020-08-22,69239.0
2020-08-23,61408.0
2020-08-24,60975.0
2020-08-25,57224.0
2020-08-26,85687.0
2020-08-27,77266.0
2020-08-28,76472.0
2020-08-29,78761.0
2020-08-30,78512.0
2020-08-31,69921.0
2020-09-01,78357.0
2020-09-02,83883.0
2020-09-03,83341.0
2020-09-04,86432.0
2020-09-05,90632.0
2020-09-06,90802.0
2020-09-07,75809.0
2020-09-08,89706.0
2020-09-09,95735.0
2020-09-10,96551.0
2020-09-11,97570.0
2020-09-12,94372.0
2020-09-13,92071.0
2020-09-14,83809.0
2020-09-15,90123.0
2020-09-16,97894.0
2020-09-17,96424.0
2020-09-18,93337.0
2020-09-19,92605.0
2020-09-20,86961.0
2020-09-21,75083.0
2020-09-22,83347.0
2020-09-23,86508.0
2020-09-24,86052.0
2020-09-25,85362.0
2020-09-26,88600.0
2020-09-27,82170.0
2020-09-28,70589.0
2020-09-29,80472.0
2020-09-30,86821.0
2020-10-01,81484.0
2020-10-02,79476.0
2020-10-03,75829.0
2020-10-04,74442.0
2020-10-05,61267.0
2020-10-06,72049.0
2020-10-07,78524.0
2020-10-08,70496.0
2020-10-09,73272.0
2020-10-10,74383.0
2020-10-11,66732.0
2020-10-12,55342.0
2020-10-13,63509.0
2020-10-14,67708.0
2020-10-15,63371.0
2020-10-16,62212.0
2020-10-17,61871.0
2020-10-18,55722.0
2020-10-19,46790.0
2020-10-20,54044.0
2020-10-21,55839.0
2020-10-22,54366.0
2020-10-23,53370.0
2020-10-24,50129.0
2020-10-25,45148.0
2020-10-26,36470.0
2020-10-27,43893.0
2020-10-28,49881.0
2020-10-29,48648.0
2020-10-30,48268.0
2020-10-31,46963.0
2020-11-01,45231.0
2020-11-02,38310.0
2020-11-03,46253.0
2020-11-04,50210.0
2020-11-05,47638.0
2020-11-06,50356.0
2020-11-07,45674.0
2020-11-08,45903.0
2020-11-09,38073.0
2020-11-10,44281.0
2020-11-11,47905.0
2020-11-12,44879.0
2020-11-13,44684.0
2020-11-14,41100.0
2020-11-15,30548.0
2020-11-16,29163.0
2020-11-17,38617.0
2020-11-18,45576.0
2020-11-19,45882.0
2020-11-20,46232.0
2020-11-21,45209.0
2020-11-22,44059.0
2020-11-23,37975.0
2020-11-24,44376.0
2020-11-25,44489.0
2020-11-26,43082.0
2020-11-27,41322.0
2020-11-28,41810.0
2020-11-29,38772.0
2020-11-30,31118.0
2020-12-01,36604.0
2020-12-02,35551.0
2020-12-03,36595.0
2020-12-04,36652.0
2020-12-05,36011.0
2020-12-06,32981.0
2020-12-07,26567.0
2020-12-08,32080.0
2020-12-09,31521.0
2020-12-10,29373.0
2020-12-11,30031.0
2020-12-12,30254.0
2020-12-13,27071.0
2020-12-14,22065.0
2020-12-15,26382.0
2020-12-16,24010.0
2020-12-17,22890.0
2020-12-18,25152.0
2020-12-19,26624.0
2020-12-20,24337.0
2020-12-21,19556.0
2020-12-22,23950.0
2020-12-23,24712.0
2020-12-24,23067.0
2020-12-25,22273.0
2020-12-26,18732.0
2020-12-27,20021.0
2020-12-28,16432.0
2020-12-29,20549.0
2020-12-30,21822.0
2020-12-31,20035.0
2021-01-01,19079.0
2021-01-02,18177.0
2021-01-03,16504.0
2021-01-04,16375.0
2021-01-05,18088.0
2021-01-06,20346.0
2021-01-07,18139.0
2021-01-08,0.0
2021-01-09,36867.0
2021-01-10,16311.0
2021-01-11,12584.0
2021-01-12,15968.0
2021-01-13,16946.0
2021-01-14,15590.0
2021-01-15,15158.0
2021-01-16,15144.0
2021-01-17,13788.0
2021-01-18,10050.0
2021-01-19,13816.0
2021-01-20,15244.0
2021-01-21,14545.0
2021-01-22,14256.0
2021-01-23,14849.0
2021-01-24,13203.0
2021-01-25,9102.0
2021-01-26,12689.0
2021-01-27,11666.0
2021-01-28,18855.0
2021-01-29,13082.0
2021-01-30,13044.0
2021-01-31,11436.0
2021-02-01,8635.0
2021-02-02,11039.0
2021-02-03,12899.0
2021-02-04,12408.0
2021-02-05,11713.0
2021-02-06,12059.0
2021-02-07,11831.0
2021-02-08,9110.0
2021-02-09,11067.0
2021-02-10,12923.0
2021-02-11,9309.0
2021-02-12,12143.0
2021-02-13,12194.0
2021-02-14,11649.0
2021-02-15,9121.0
2021-02-16,11610.0
2021-02-17,12881.0
2021-02-18,13193.0
2021-02-19,13993.0
2021-02-20,14264.0
2021-02-21,14199.0
2021-02-22,10584.0
2021-02-23,13742.0
2021-02-24,16738.0
2021-02-25,16577.0
2021-02-26,16488.0
2021-02-27,16752.0
2021-02-28,15510.0
2021-03-01,12286.0
2021-03-02,14989.0
2021-03-03,17407.0
2021-03-04,16838.0
2021-03-05,18284.0
2021-03-06,18754.0
2021-03-07,18599.0
2021-03-08,15388.0
2021-03-09,17921.0
2021-03-10,22854.0
2021-03-11,23285.0
2021-03-12,24882.0
2021-03-13,25320.0
2021-03-14,26291.0
2021-03-15,24492.0
2021-03-16,28903.0
2021-03-17,35871.0
2021-03-18,39726.0
2021-03-19,40953.0
2021-03-20,43846.0
2021-03-21,46951.0
2021-03-22,40715.0
2021-03-23,47262.0
2021-03-24,53476.0
2021-03-25,59118.0
2021-03-26,62258.0
2021-03-27,62714.0
2021-03-28,68020.0
2021-03-29,56211.0
2021-03-30,53480.0
2021-03-31,72330.0
2021-04-01,81466.0
2021-04-02,89129.0
2021-04-03,93249.0
2021-04-04,103558.0
2021-04-05,96982.0
2021-04-06,115736.0
2021-04-07,126789.0
2021-04-08,131968.0
2021-04-09,145384.0
2021-04-10,152879.0
2021-04-11,168912.0
2021-04-12,161736.0
2021-04-13,184372.0
2021-04-14,200739.0
2021-04-15,217353.0
2021-04-16,234692.0
2021-04-17,261394.0
2021-04-18,273802.0
2021-04-19,259167.0
2021-04-20,295158.0
2021-04-21,314644.0
2021-04-22,332921.0
2021-04-23,346786.0
2021-04-24,349691.0
2021-04-25,352991.0
2021-04-26,323023.0
2021-04-27,360927.0
2021-04-28,379308.0
2021-04-29,386555.0
2021-04-30,401993.0
2021-05-01,392488.0
2021-05-02,368060.0
2021-05-03,357316.0
2021-05-04,382146.0
2021-05-05,412431.0
2021-05-06,414188.0
2021-05-07,401078.0
2021-05-08,403405.0
2021-05-09,366494.0
2021-05-10,329942.0
2021-05-11,348421.0
2021-05-12,362727.0
2021-05-13,343144.0
2021-05-14,326098.0
2021-05-15,311170.0
2021-05-16,281386.0
2021-05-17,263533.0
2021-05-18,267334.0
2021-05-19,276110.0
2021-05-20,259551.0
2021-05-21,257299.0
2021-05-22,240842.0
2021-05-23,222315.0
2021-05-24,196427.0
2021-05-25,208921.0
2021-05-26,211298.0
2021-05-27,186364.0
2021-05-28,173790.0
2021-05-29,165553.0
2021-05-30,152734.0
2021-05-31,127510.0
2021-06-01,132788.0
2021-06-02,134154.0
2021-06-03,132364.0
2021-06-04,120529.0
2021-06-05,114460.0
2021-06-06,100636.0
2021-06-07,86498.0
2021-06-08,92596.0
2021-06-09,93463.0
2021-06-10,92291.0
2021-06-11,84332.0
2021-06-12,80834.0
2021-06-13,70421.0
2021-06-14,60471.0
2021-06-15,62224.0
2021-06-16,67208.0
2021-06-17,62480.0
2021-06-18,60753.0
2021-06-19,58226.0
2021-06-20,53449.0
2021-06-21,42640.0
2021-06-22,50848.0
2021-06-23,54069.0
2021-06-24,51667.0
2021-06-25,48698.0
2021-06-26,50040.0
2021-06-27,46148.0
2021-06-28,37566.0
2021-06-29,45951.0
2021-06-30,48786.0
2021-07-01,46617.0
2021-07-02,44111.0
2021-07-03,43071.0
2021-07-04,39796.0
2021-07-05,34703.0
2021-07-06,43733.0
2021-07-07,45892.0
2021-07-08,43393.0
2021-07-09,42766.0
2021-07-10,41506.0
2021-07-11,37154.0
2021-07-12,32906.0
2021-07-13,38865.0
2021-07-14,41733.0
2021-07-15,38949.0
2021-07-16,38079.0
2021-07-17,41157.0
2021-07-18,38164.0
2021-07-19,30093.0
2021-07-20,42015.0
2021-07-21,41383.0
2021-07-22,35342.0
2021-07-23,39097.0
2021-07-24,39742.0
2021-07-25,39361.0
2021-07-26,29689.0
2021-07-27,43654.0
2021-07-28,43509.0
2021-07-29,44230.0
2021-07-30,41649.0
2021-07-31,41831.0
2021-08-01,40134.0
2021-08-02,30549.0
2021-08-03,42625.0
2021-08-04,42982.0
2021-08-05,44643.0
2021-08-06,38628.0
2021-08-07,39070.0
2021-08-08,35499.0
2021-08-09,28204.0
2021-08-10,38353.0
2021-08-11,41195.0
2021-08-12,40120.0
2021-08-13,38667.0
2021-08-14,36083.0
2021-08-15,32937.0
2021-08-16,25166.0
2021-08-17,35178.0
2021-08-18,36401.0
2021-08-19,36571.0
2021-08-20,34457.0
2021-08-21,30948.0
2021-08-22,25072.0
2021-08-23,25467.0
2021-08-24,37593.0
2021-08-25,46164.0
2021-08-26,44658.0
2021-08-27,46759.0
2021-08-28,45083.0
2021-08-29,42909.0
2021-08-30,30941.0
2021-08-31,41965.0
2021-09-01,47092.0
2021-09-02,45352.0
2021-09-03,42618.0
2021-09-04,42766.0
2021-09-05,38948.0
2021-09-06,31222.0
2021-09-07,37875.0
2021-09-08,43263.0
2021-09-09,34973.0
2021-09-10,33376.0
2021-09-11,28591.0
2021-09-12,27254.0
2021-09-13,25404.0
2021-09-14,27176.0
2021-09-15,30570.0
2021-09-16,34403.0
2021-09-17,35662.0
2021-09-18,30773.0
2021-09-19,30256.0
2021-09-20,26115.0
2021-09-21,26964.0
2021-09-22,31923.0
2021-09-23,31382.0
2021-09-24,29616.0
2021-09-25,28326.0
2021-09-26,26041.0
2021-09-27,18795.0
2021-09-28,18870.0
2021-09-29,23529.0
2021-09-30,26727.0
2021-10-01,24354.0
2021-10-02,22842.0
2021-10-03,20799.0
2021-10-04,18346.0
2021-10-05,18833.0
2021-10-06,22431.0
2021-10-07,21257.0
2021-10-08,19740.0
2021-10-09,18166.0
2021-10-10,18132.0
2021-10-11,14313.0
2021-10-12,15823.0
2021-10-13,18987.0
2021-10-14,16862.0
2021-10-15,15981.0
2021-10-16,14146.0
2021-10-17,13596.0
2021-10-18,13058.0
2021-10-19,14623.0
2021-10-20,18454.0
2021-10-21,15786.0
2021-10-22,16326.0
2021-10-23,15906.0
2021-10-24,14306.0
2021-10-25,12428.0
2021-10-26,13451.0
2021-10-27,16156.0
2021-10-28,14348.0
2021-10-29,14313.0
2021-10-30,12830.0
2021-10-31,12514.0
2021-11-01,10423.0
2021-11-02,11903.0
2021-11-03,12885.0
2021-11-04,12729.0
2021-11-05,10929.0
2021-11-06,10826.0
2021-11-07,11478.0
2021-11-08,10126.0
2021-11-09,11466.0
2021-11-10,13091.0
2021-11-11,12516.0
2021-11-12,11850.0
2021-11-13,11271.0
2021-11-14,10229.0
2021-11-15,8865.0
2021-11-16,10197.0
2021-11-17,11919.0
2021-11-18,11106.0
2021-11-19,10302.0
2021-11-20,10488.0
2021-11-21,8488.0
2021-11-22,7579.0
2021-11-23,9283.0
2021-11-24,9119.0
2021-11-25,10549.0
2021-11-26,8318.0
2021-11-27,8774.0
2021-11-28,8309.0
2021-11-29,6990.0
2021-11-30,8954.0
2021-12-01,9765.0
2021-12-02,9216.0
2021-12-03,8603.0
2021-12-04,0.0
2021-12-05,17201.0
2021-12-06,6822.0
2021-12-07,8439.0
2021-12-08,9419.0
2021-12-09,8402.0
2021-12-10,7990.0
2021-12-11,7877.0
2021-12-12,7350.0
2021-12-13,5784.0
2021-12-14,6984.0
2021-12-15,7974.0
2021-12-16,7447.0
2021-12-17,0.0
2021-12-18,7145.0
2021-12-19,13644.0
2021-12-20,5326.0
2021-12-21,6317.0
2021-12-22,7495.0
2021-12-23,6650.0
2021-12-24,7189.0
2021-12-25,6987.0
2021-12-26,6531.0
2021-12-27,6358.0
2021-12-28,9195.0
2021-12-29,13154.0
2021-12-30,16764.0
2021-12-31,22775.0
2022-01-01,27553.0
2022-01-02,33750.0
2022-01-03,37379.0
2022-01-04,58097.0
2022-01-05,90928.0
2022-01-06,117100.0
2022-01-07,141986.0
2022-01-08,159632.0
2022-01-09,179723.0
2022-01-10,168063.0
2022-01-11,194720.0
2022-01-12,247417.0
2022-01-13,264202.0
2022-01-14,268833.0
2022-01-15,271202.0
2022-01-16,258089.0
2022-01-17,238018.0
2022-01-18,282970.0
2022-01-19,317532.0
2022-01-20,347254.0
2022-01-21,337704.0
2022-01-22,333533.0
2022-01-23,306064.0
2022-01-24,255874.0
2022-01-25,285914.0
2022-01-26,286384.0
2022-01-27,251209.0
2022-01-28,235532.0
2022-01-29,234281.0
2022-01-30,209918.0
2022-01-31,167059.0
2022-02-01,161386.0
2022-02-02,172433.0
2022-02-03,149394.0
2022-02-04,127952.0
2022-02-05,107474.0
2022-02-06,83876.0
2022-02-07,67597.0
2022-02-08,71365.0
2022-02-09,67084.0
2022-02-10,58077.0
2022-02-11,50407.0
2022-02-12,44877.0
2022-02-13,34113.0
2022-02-14,27409.0
2022-02-15,30615.0
2022-02-16,30757.0
2022-02-17,25920.0
2022-02-18,22270.0
2022-02-19,19968.0
2022-02-20,16051.0
2022-02-21,13405.0
2022-02-22,15102.0
2022-02-23,14148.0
2022-02-24,13166.0
2022-02-25,11499.0
2022-02-26,10273.0
2022-02-27,8013.0
2022-02-28,6915.0
2022-03-01,7554.0
2022-03-02,6561.0
2022-03-03,6396.0
2022-03-04,5921.0
2022-03-05,5476.0
2022-03-06,4362.0
2022-03-07,3993.0
2022-03-08,4575.0
2022-03-09,4184.0
2022-03-10,4194.0
2022-03-11,3614.0
2022-03-12,3116.0
2022-03-13,2503.0
2022-03-14,2568.0
2022-03-15,2876.0
2022-03-16,2539.0
2022-03-17,2528.0
2022-03-18,2075.0
2022-03-19,1761.0
2022-03-20,1549.0
2022-03-21,1581.0
2022-03-22,1778.0
2022-03-23,1938.0
2022-03-24,1685.0
2022-03-25,1660.0
2022-03-26,1421.0
2022-03-27,1270.0
2022-03-28,1259.0
2022-03-29,1233.0
2022-03-30,1225.0
2022-03-31,1335.0
2022-04-01,1260.0
2022-04-02,1096.0
2022-04-03,913.0
2022-04-04,795.0
2022-04-05,1086.0
2022-04-06,1033.0
2022-04-07,1109.0
2022-04-08,1150.0
2022-04-09,1054.0
2022-04-10,861.0
2022-04-11,796.0
2022-04-12,1088.0
2022-04-13,1007.0
2022-04-14,949.0
2022-04-15,975.0
2022-04-16,1150.0
2022-04-17,2183.0
2022-04-18,1247.0
2022-04-19,2067.0
2022-04-20,2380.0
2022-04-21,2451.0
2022-04-22,2527.0
2022-04-23,2593.0
2022-04-24,2541.0
2022-04-25,11.0
2022-04-26,5399.0
2022-04-27,3303.0
2022-04-28,3377.0
2022-04-29,3688.0
2022-04-30,3324.0
2022-05-01,3157.0
2022-05-02,2568.0
2022-05-03,3205.0
2022-05-04,3275.0
2022-05-05,3545.0
2022-05-06,3805.0
2022-05-07,3451.0
2022-05-08,3207.0
2022-05-09,2288.0
2022-05-10,2897.0
2022-05-11,2827.0
2022-05-12,2841.0
2022-05-13,2858.0
2022-05-14,2487.0
2022-05-15,2202.0
2022-05-16,1569.0
2022-05-17,1829.0
2022-05-18,2364.0
2022-05-19,2259.0
2022-05-20,2323.0
2022-05-21,2226.0
2022-05-22,2022.0
2022-05-23,1675.0
2022-05-24,2124.0
2022-05-25,2628.0
2022-05-26,2710.0
2022-05-27,2685.0
2022-05-28,2828.0
2022-05-29,2706.0
2022-05-30,2338.0
2022-05-31,2745.0
2022-06-01,3712.0
2022-06-02,4041.0
2022-06-03,3962.0
2022-06-04,4270.0
2022-06-05,4518.0
2022-06-06,3714.0
2022-06-07,5233.0
2022-06-08,7240.0
2022-06-09,7584.0
2022-06-10,8329.0
2022-06-11,8582.0
2022-06-12,8084.0
2022-06-13,6594.0
2022-06-14,8822.0
2022-06-15,12213.0
2022-06-16,12847.0
2022-06-17,13216.0
2022-06-18,12899.0
2022-06-19,12781.0
2022-06-20,9923.0
2022-06-21,12249.0
2022-06-22,13313.0
2022-06-23,17336.0
2022-06-24,15940.0
2022-06-25,11739.0
2022-06-26,17073.0
2022-06-27,11793.0
2022-06-28,14506.0
2022-06-29,18819.0
2022-06-30,17070.0
2022-07-01,17092.0
2022-07-02,16103.0
2022-07-03,16135.0
2022-07-04,13086.0
2022-07-05,16159.0
2022-07-06,18930.0
2022-07-07,18815.0
2022-07-08,18840.0
2022-07-09,18257.0
2022-07-10,16678.0
2022-07-11,13615.0
2022-07-12,16906.0
2022-07-13,20139.0
2022-07-14,20038.0
2022-07-15,20044.0
2022-07-16,20528.0
2022-07-17,16935.0
2022-07-18,15528.0
2022-07-19,18616.0
2022-07-20,23050.0
2022-07-21,22337.0
2022-07-22,21411.0
2022-07-23,20279.0
2022-07-24,16866.0
2022-07-25,14830.0
2022-07-26,18313.0
2022-07-27,20557.0
2022-07-28,20409.0
2022-07-29,20408.0
2022-07-30,19673.0
2022-07-31,16464.0
2022-08-01,13734.0
2022-08-02,17135.0
2022-08-03,19893.0
2022-08-04,20551.0
2022-08-05,19406.0
2022-08-06,18715.0
2022-08-07,0.0
2022-08-08,28941.0
2022-08-09,16047.0
2022-08-10,16299.0
2022-08-11,16561.0
2022-08-12,15815.0
2022-08-13,14092.0
2022-08-14,14917.0
2022-08-15,9330.0
2022-08-16,8545.0
2022-08-17,12608.0
2022-08-18,15754.0
2022-08-19,13272.0
2022-08-20,11539.0
2022-08-21,9531.0
2022-08-22,8586.0
2022-08-23,10649.0
2022-08-24,10725.0
2022-08-25,10256.0
2022-08-26,9520.0
2022-08-27,9436.0
2022-08-28,7591.0
2022-08-29,0.0
2022-08-30,0.0
2022-08-31,20616.0
2022-09-01,6168.0
2022-09-02,7219.0
2022-09-03,6809.0
2022-09-04,5910.0
2022-09-05,4417.0
2022-09-06,2799.0
2022-09-07,8975.0
2022-09-08,6093.0
2022-09-09,5554.0
2022-09-10,5076.0
2022-09-11,5221.0
2022-09-12,1783.0
2022-09-13,7694.0
2022-09-14,6422.0
2022-09-15,6298.0
2022-09-16,5747.0
2022-09-17,5664.0
2022-09-18,4858.0
2022-09-19,4043.0
2022-09-20,1922.0
2022-09-21,8031.0
2022-09-22,5383.0
2022-09-23,4912.0
2022-09-24,4777.0
2022-09-25,4129.0
2022-09-26,3230.0
2022-09-27,3615.0
2022-09-28,4272.0
2022-09-29,3947.0
2022-09-30,3805.0
2022-10-01,3375.0
2022-10-02,3011.0
2022-10-03,1968.0
2022-10-04,2426.0
2022-10-05,2571.0
2022-10-06,1997.0
2022-10-07,2797.0
2022-10-08,2756.0
2022-10-09,2424.0
2022-10-10,1957.0
2022-10-11,-159.0
2022-10-12,5084.0
2022-10-13,2678.0
2022-10-14,2430.0
2022-10-15,2401.0
2022-10-16,2060.0
2022-10-17,1542.0
2022-10-18,1946.0
2022-10-19,2141.0
2022-10-20,2119.0
2022-10-21,2112.0
2022-10-22,1994.0
2022-10-23,1334.0
2022-10-24,862.0
2022-10-25,830.0
2022-10-26,1112.0
2022-10-27,2208.0
2022-10-28,1574.0
2022-10-29,1594.0
2022-10-30,1336.0
2022-10-31,1046.0
2022-11-01,1190.0
2022-11-02,98.0
2022-11-03,2439.0
2022-11-04,1082.0
2022-11-05,1132.0
2022-11-06,925.0
2022-11-07,-1211.0
2022-11-08,0.0
2022-11-09,0.0
2022-11-10,4517.0
2022-11-11,833.0
2022-11-12,729.0
2022-11-13,552.0
2022-11-14,466.0
2022-11-15,510.0
2022-11-16,635.0
2022-11-17,-568.0
2022-11-18,1781.0
2022-11-19,492.0
2022-11-20,406.0
2022-11-21,294.0
2022-11-22,360.0
2022-11-23,408.0
2022-11-24,340.0
2022-11-25,394.0
2022-11-26,345.0
2022-11-27,291.0
2022-11-28,215.0
2022-11-29,274.0
2022-11-30,296.0
2022-12-01,275.0
2022-12-02,252.0
2022-12-03,226.0
2022-12-04,226.0
2022-12-05,164.0
2022-12-06,166.0
2022-12-07,241.0
2022-12-08,249.0
2022-12-09,210.0
2022-12-10,173.0
2022-12-11,0.0
2022-12-12,273.0
2022-12-13,152.0
2022-12-14,200.0
2022-12-15,162.0
2022-12-16,167.0
2022-12-17,176.0
2022-12-18,135.0
2022-12-19,112.0
2022-12-20,132.0
2022-12-21,185.0
2022-12-22,163.0
2022-12-23,201.0
2022-12-24,227.0
2022-12-25,187.0
2022-12-26,166.0
2022-12-27,188.0
2022-12-28,268.0
2022-12-29,243.0
2022-12-30,226.0
2022-12-31,265.0
2023-01-01,173.0
2023-01-02,134.0
2023-01-03,175.0
2023-01-04,188.0
2023-01-05,228.0
2023-01-06,214.0
2023-01-07,163.0
2023-01-08,170.0
2023-01-09,121.0
2023-01-10,171.0
2023-01-11,197.0
2023-01-12,174.0
2023-01-13,179.0
2023-01-14,104.0
2023-01-15,114.0
2023-01-16,89.0
2023-01-17,128.0
2023-01-18,134.0
2023-01-19,145.0
2023-01-20,131.0
2023-01-21,140.0
2023-01-22,94.0
2023-01-23,89.0
2023-01-24,102.0
2023-01-25,132.0
2023-01-26,99.0
2023-01-27,93.0
2023-01-28,109.0
2023-01-29,80.0
2023-01-30,66.0
2023-01-31,111.0
2023-02-01,128.0
2023-02-02,99.0
2023-02-03,128.0
2023-02-04,113.0
2023-02-05,91.0
2023-02-06,89.0
2023-02-07,96.0
2023-02-08,109.0
2023-02-09,114.0
2023-02-10,-1225.0
2023-02-11,1357.0
2023-02-12,206.0
2023-02-13,74.0
2023-02-14,102.0
2023-02-15,126.0
2023-02-16,157.0
2023-02-17,117.0
2023-02-18,142.0
2023-02-19,120.0
2023-02-20,95.0
2023-02-21,125.0
2023-02-22,193.0
2023-02-23,166.0
2023-02-24,183.0
2023-02-25,218.0
2023-02-26,185.0
2023-02-27,169.0
2023-02-28,240.0
2023-03-01,268.0
2023-03-02,283.0
2023-03-03,334.0
2023-03-04,324.0
2023-03-05,281.0
2023-03-06,266.0
2023-03-07,326.0
2023-03-08,379.0
2023-03-09,440.0
